"Source: EMFAC2021 (v1.0.1) Emissions Inventory"
"Region Type: County"
"Region: San Mateo"
"Calendar Year: 2020, 2030, 2040, 2050"
"Season: Annual"
"Vehicle Classification: EMFAC202x Categories"
"Units:  miles/year for CVMT and EVMT, trips/year for Trips, kWh/year for Energy Consumption, tons/year for Emissions, 1000 gallons/year for Fuel Consumption"

Region,"Calendar Year","Vehicle Category","Model Year",Speed,Fuel,Population,"Total VMT",CVMT,EVMT,Trips,"Energy Consumption",NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,"Fuel Consumption"
"San Mateo",2020,"All Other Buses",Aggregate,Aggregate,Diesel,936.3197208427245,18802944.409155667,18802944.409155667,0,2433307.690526072,0,21.488726582499034,1.0181704498983764,3.5222085965614744,26.029105628958884,0.2480684409790878,0.0012455036043058515,0,0.24931394458339368,0.062180094903388085,0.33469579732366384,0.6461898368104456,0.2592849950927584,0.0013018197504521731,0,0.26058681484321056,0.24872037961355234,0.9562737066390397,1.4655809010958025,24576.47470438362,187.89681669844603,0,24764.371521082066,0.043082294212560025,0.0008349100323764596,0,0.04391720424493648,3.872033598178234,0.029603219989779522,0,3.9016368181680137,0.927549980292515,0.017975384046540324,0,0.9455253643390553,0,0,0,0.9455253643390553,1.055945046263202,0.0204636064275878,0,1.07640865269079,0,0,0,1.07640865269079,3.0625437440338787,0.6046599354670864,0,3.667203679500965,0.23272451898575033,0.0017792704938800646,0,0.2345037894796304,4.279750305529958,2212.191498056093
"San Mateo",2020,"All Other Buses",Aggregate,Aggregate,"Natural Gas",12.380823880292406,211305.86258374114,211305.86258374114,0,32175.28510010391,0,0.06990808747671,0.006309358563643767,0,0.07621744604035377,0.00012461323937929743,0.000011181955511781541,0,0.00013579519489107897,0.0006987745271799856,0.0037612824150132966,0.004595852137084361,0.00013552826764609723,0.000012161396870477736,0,0.00014768966451657496,0.0027950981087199425,0.010746521185752277,0.013689308958988794,249.96126808198872,4.7873269070349505,0,254.74859498902367,0.16991759066717876,0.019139440356199876,0,0.18905703102337865,0.05095623968220655,0.000975927907486589,0,0.051932167589693136,0.002427787100220632,0.00027346483798277915,0,0.0027012519382034112,0,0,0,0.0027012519382034112,0.1734133643014737,0.019533202713055652,0,0.19294656701452934,0,0,0,0.19294656701452934,0.7201722786172079,0.019479688324291623,0,0.7396519669414995,0,0,0,0,0.2469002621722864,29.44505215928486
"San Mateo",2020,LDA,Aggregate,Aggregate,Gasoline,242868.10989067482,2602607986.389444,2602607986.389444,0,396502140.23617494,0,178.14875491891638,0,135.10758653759774,313.2563414565141,4.060373620848034,0,1.024580114229118,5.084953735077152,5.73776844259846,6.824554205849113,17.647276383524726,4.4159703872177065,0,1.114221482649143,5.530191869866849,22.95107377039384,19.498726302426036,47.97999194268672,840152.5447274529,0,32862.139273606874,873014.6840010597,9.37970221337186,0,37.90641838891552,47.28612060228738,16.343051283091974,0,15.309481927271833,31.652533210363806,39.17371455244494,0,187.15624465107743,226.32995920352238,133.86937315813378,43.08794853537333,107.90689932396556,511.19418022099507,57.144418838502226,0,204.91064835161572,262.05506719011794,133.86937315813378,43.08794853535561,107.90689932392112,546.9192882075284,2443.7327633280656,0,1805.02619036891,4248.758953696975,8.305763245877417,0,0.3248757029572204,8.630638948834637,94.66780364368083,92058.30762141706
"San Mateo",2020,LDA,Aggregate,Aggregate,Diesel,996.8649809496283,8516544.839274116,8516544.839274116,0,1497481.6101046365,0,2.81024475588499,0,0,2.81024475588499,0.18306468250443256,0,0,0.18306468250443256,0.018775767412653167,0.02260778502461266,0.22444823494169838,0.19134205510978555,0,0,0.19134205510978555,0.07510306965061267,0.06459367149889332,0.33103879625929156,2272.795803476027,0,0,2272.795803476027,0.014278198017687418,0,0,0.014278198017687418,0.35807990440907217,0,0,0.35807990440907217,0.3074011968464567,0,0,0.3074011968464567,0,0,0,0.3074011968464567,0.34995582518949997,0,0,0.34995582518949997,0,0,0,0.34995582518949997,3.430052604263962,0,0,3.430052604263962,0.021535895278523353,0,0,0.021535895278523353,0.029102431148828253,203.02794880084008
"San Mateo",2020,LDA,Aggregate,Aggregate,Electricity,11309.381300884219,134383883.80720344,0,134383883.80720344,19788037.832200907,51883270.45509131,0,0,0,0,0,0,0,0,0.29626575025325763,0.2262600949232733,0.5225258451765309,0,0,0,0,1.1850630010130305,0.6464574140664953,1.8315204150795257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Mateo",2020,LDA,Aggregate,Aggregate,"Plug-in Hybrid",4873.61538727519,63416743.424898885,33883288.433805555,29533454.991093334,6992882.670599241,8919983.6452226,0.24204279035635534,0,0.9034087174558237,1.145451507812179,0.0593454692823555,0,0.020025012901676936,0.07937048218403243,0.1398099871585117,0.09123533060869377,0.3104157999512379,0.06454361257716036,0,0.02177902863029097,0.08632264120745134,0.5592399486340468,0.26067237316769654,0.9062349630091947,10141.469946340158,0,525.3025419174803,10666.772488257639,0.03183459849713673,0,0.3292824171788924,0.3611170156760291,0.04255587673890721,0,0.15866750979683164,0.20122338653573885,0.10240264116347217,0,1.3615615132054906,1.4639641543689628,0.7964817640912367,0.2771427727780771,0.2526423080499697,2.790230999288246,0.14942569360402697,0,1.4907384742113248,1.6401641678153518,0.7964817640912367,0.277142772777963,0.2526423080498657,2.9664310127344176,15.183296322147317,0,10.623542512128632,25.80683883427595,0.10025875523213197,0,0.005193150426080739,0.1054519056582127,1.4160617548582932,1124.7978310643146
"San Mateo",2020,LDT1,Aggregate,Aggregate,Gasoline,23587.756875344174,226427452.15254483,226427452.15254483,0,36910056.4660894,0,45.25657934662449,0,18.89743201930764,64.15401136593213,0.538765736396306,0,0.13236551371199878,0.6711312501083048,0.4991870832230817,0.7252354190593772,1.8955537523907635,0.5858923664128504,0,0.14394045155727447,0.7298328179701248,1.9967483328923268,2.0721011973125063,4.7986823481749585,86057.73088848965,0,3779.0699691897908,89836.80085767944,2.1039510261960084,0,5.2296745615192695,7.333625587715278,2.9952055630293266,0,1.6929582610621903,4.688163824091517,9.742312095276978,0,28.38540134026225,38.12771343553923,25.2907869245848,7.570942510618858,22.06867328023158,93.05811615097447,14.19898987210551,0,31.07816124031083,45.27715111241634,25.2907869245848,7.570942510615744,22.068673280222498,100.20755382783938,435.855579089632,0,279.6743743287531,715.529953418385,0.8507682833587101,0,0.03735995403534486,0.888128237394055,8.861963014028436,9473.17840196855
"San Mateo",2020,LDT1,Aggregate,Aggregate,Diesel,10.50553636439901,49566.59860136949,49566.59860136949,0,11139.31573975163,0,0.09330732657370766,0,0,0.09330732657370766,0.013503311799002726,0,0,0.013503311799002726,0.00010927564456467708,0.00018618833710317561,0.013798775780670578,0.014113871638494967,0,0,0.014113871638494967,0.0004371025782587083,0.0005319666774376446,0.01508294089419132,23.059451303142097,0,0,23.059451303142097,0.0008329487751414196,0,0,0.0008329487751414196,0.003633025943521316,0,0,0.003633025943521316,0.01793289671939525,0,0,0.01793289671939525,0,0,0,0.01793289671939525,0.02041541065504924,0,0,0.02041541065504924,0,0,0,0.02041541065504924,0.09541369420419454,0,0,0.09541369420419454,0.00021850001996887063,0,0,0.00021850001996887063,0.00016937720053158446,2.0598916503583657
"San Mateo",2020,LDT1,Aggregate,Aggregate,Electricity,52.64110425665383,512707.83545495203,0,512707.83545495203,86546.26995487777,197947.5405660796,0,0,0,0,0,0,0,0,0.0011303272924431049,0.0008701856205310674,0.0020005129129741723,0,0,0,0,0.0045213091697724195,0.0024862446300887636,0.007007553799861183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Mateo",2020,LDT1,Aggregate,Aggregate,"Plug-in Hybrid",2.491174454113365,35512.97986656817,18484.370204829975,17028.609661738188,3574.449209737203,5143.14765168493,0.00013204174533110484,0,0.0004617821760053856,0.0005938239213364904,0.00002746133323472628,0,0.00000884828549427956,0.00003630961872900584,0.00007829271878309629,0.00005116726099342307,0.00016576959850552521,0.000029866705488862897,0,0.000009623317800347843,0.00003949002328921074,0.00031317087513238516,0.00014619217426692306,0.0004988530726885189,5.532482045700146,0,0.3000785637936456,5.832560609493791,0.00001750246253643681,0,0.0001697094064059565,0.0001872118689423933,0.000023565615268507186,0,0.00008240149254604286,0.00010596710781455005,0.00005586377287186429,0,0.000695969416925581,0.0007518331897974453,0.00031647363642609916,0.00010567287747882483,0.00010472238913200454,0.001278702092834374,0.0000815162862390483,0,0.0007619989083290157,0.000843515194568064,0.00031647363642609916,0.00010567287747878135,0.00010472238913196148,0.0013703840976049058,0.008282952544481916,0,0.005430280318693482,0.013713232863175398,0.00005469421752279492,0,0.000002966582106635737,0.00005766079962943066,0.0008557720295230401,0.6150362286560205
